1,Indeterminate,Indeterminate,Indeterminate
3,Indeterminate,Indeterminate,Indeterminate
4,Indeterminate,Indeterminate,Indeterminate
8,-41.46,165.74,2.18
9,-18.11,-47.63,9.38
10,26.42,-78.03,4.11
11,61.74,47.72,1.55
12,19.96,-130.6,7.17
28,24.06,-175.66,2.89
101,64.6706,48.0456,52.8882
102,54.3759,56.3328,47.1422
103,25.3546,67.9144,40.5328
104,65.359,50.5245,51.8749
105,68.5533,32.1964,58.5635
107,61.5198,55.8602,48.4839
108,64.6706,48.0456,52.8882
109,64.6706,48.0456,52.8882
110,64.6706,48.0456,52.8882
111,60.5303,55.8211,59.4098
112,52.2567,61.7852,51.9307
113,52.2567,61.7852,51.9307
114,63.0126,48.4075,51.8317
116,64.6706,48.0456,52.8882
117,63.0126,48.4075,51.8317
118,25.3546,67.9144,40.5328
120,63.7209,48.9631,52.3304
121,61.2258,52.853,51.2701
122,62.6091,50.3478,52.2412
123,62.5152,50.8329,51.2843
124,62.8908,50.5288,51.1048
130,54.3759,56.3328,47.1422
131,61.782,19.5585,58.5084
132,61.782,19.5585,58.5084
133,63.7209,48.9631,52.3304
134,63.7209,48.9631,52.3304
135,63.7209,48.9631,52.3304
140,69.0506,49.8478,44.0386
141,61.2258,52.853,51.2701
154,64.6706,48.0456,52.8882
155,25.3546,67.9144,40.5328
160,64.6706,48.0456,52.8882
173,64.6706,48.0456,52.8882
176,64.6706,48.0456,52.8882
178,64.6706,48.0456,52.8882
182,64.6706,48.0456,52.8882
183,64.6706,48.0456,52.8882
184,64.6706,48.0456,52.8882
185,64.6706,48.0456,52.8882
199,64.6706,48.0456,52.8882
201,78.2009,29.7652,25.4756
202,78.2009,29.7652,25.4756
204,-25.8894,-77.8329,-67.1083
205,-17.1354,-72.9259,-77.4305
209,-17.1354,-72.9259,-77.4305
210,-25.8894,-77.8329,-67.1083
211,-25.8894,-77.8329,-67.1083
212,-25.8894,-77.8329,-67.1083
213,-25.8894,-77.8329,-67.1083
215,63.7051,54.7363,48.0601
222,5.45835,-70.902,-121.665
225,64.2411,-23.7975,26.8651
226,64.2411,-23.7975,26.8651
227,64.2411,-23.7975,26.8651
228,64.2411,-23.7975,26.8651
233,64.0136,55.5949,47.4116
280,52.4784,-24.8021,21.5499
283,52.4784,-24.8021,21.5499
288,52.4784,-24.8021,21.5499
290,64.4616,-15.6186,22.1138
291,52.4784,-24.8021,21.5499
293,77.8646,27.5142,25.1271
301,42.8113,44.5666,36.138
302,42.8113,44.5666,36.138
304,14.3375,-43.5833,-26.4482
305,42.8113,44.5666,36.138
306,27.7788,-15.3611,-49.4812
307,25.5739,-21.8542,-43.8211
308,23.9452,-23.1684,-40.8775
309,42.8113,44.5666,36.138
311,42.8113,44.5666,36.138
315,42.8113,44.5666,36.138
317,42.8054,42.8324,37.7285
318,42.8113,44.5666,36.138
319,42.8113,44.5666,36.138
322,27.6843,-16.6974,-45.0309
323,27.0169,-27.0178,-39.1444
328,25.428,-25.9454,-35.8298
329,14.3375,-43.5833,-26.4482
330,42.494,44.5295,36.6935
331,42.8113,44.5666,36.138
334,26.969,-43.5123,-26.9107
337,30.3705,-45.8068,-26.7611
338,42.857,45.4913,34.7634
339,-7.35042,-73.0224,-98.6666
340,30.0406,-42.2934,-27.4963
344,42.8113,44.5666,36.138
346,27.5857,-22.9513,-40.9361
347,-3.30298,78.2333,28.9152
349,42.8113,44.5666,36.138
352,12.971,-45.3147,-27.2709
354,14.8963,-30.318,-34.4827
355,23.9452,-23.1684,-40.8775
356,42.8113,44.5666,36.138
357,32.8333,49.102,22.5095
358,40.9225,59.9463,28.2629
