1,Indeterminate,Indeterminate,Indeterminate
2,17.8646,86.9146,11.6181
3,Indeterminate,Indeterminate,Indeterminate
4,Indeterminate,Indeterminate,Indeterminate
8,-41.46,165.74,2.18
9,-18.11,-47.63,9.38
10,27.3161,-76.9336,4.10379
11,61.74,47.72,1.55
12,20.6307,-131,7.29922
28,24.06,-175.66,2.89
101,64.6558,84.2474,34.521
102,47.6859,82.3289,28.8632
103,64.6558,84.2474,34.521
104,64.6558,84.2474,34.521
105,74.6445,70.397,40.0125
107,-57.2361,-89.3176,-30.5777
108,64.6558,84.2474,34.521
109,64.6558,84.2474,34.521
110,64.6558,84.2474,34.521
111,64.6558,84.2474,34.521
112,64.6558,84.2474,34.521
113,64.6558,84.2474,34.521
114,62.6016,82.159,33.2759
116,64.6558,84.2474,34.521
117,62.6016,82.159,33.2759
118,64.6558,84.2474,34.521
120,63.1841,83.7372,33.9062
121,58.4837,84.2868,32.8975
122,61.2817,83.1212,33.776
123,60.933,84.3959,32.884
124,61.507,84.9786,32.7361
130,47.6859,82.3289,28.8632
131,70.5544,30.6645,38.5515
132,70.5544,30.6645,38.5515
133,63.1841,83.7372,33.9062
134,63.1841,83.7372,33.9062
135,63.1841,83.7372,33.9062
140,64.6558,84.2474,34.521
141,58.4837,84.2868,32.8975
154,64.6558,84.2474,34.521
155,64.6558,84.2474,34.521
160,64.6558,84.2474,34.521
173,64.6558,84.2474,34.521
176,64.6558,84.2474,34.521
178,64.6558,84.2474,34.521
182,64.6558,84.2474,34.521
183,64.6558,84.2474,34.521
184,64.6558,84.2474,34.521
185,64.6558,84.2474,34.521
199,64.6558,84.2474,34.521
201,77.1879,34.0178,26.2415
202,77.1879,34.0178,26.2415
204,64.6558,84.2474,34.521
205,64.6558,84.2474,34.521
208,67.2082,-56.1795,41.3163
209,64.6558,84.2474,34.521
210,64.6558,84.2474,34.521
211,64.6558,84.2474,34.521
212,64.6558,84.2474,34.521
213,64.6558,84.2474,34.521
215,64.6558,84.2474,34.521
216,-9.97535,-85.1359,-66.9285
222,-0.630484,-80.8111,-65.6684
